timestep,charge_level,psiL_am,amplitudeL_am,frequency_rHz
814,0.793458,-0.407137,0.899860,0.008882
815,0.793458,-0.458292,0.898069,0.008882
816,0.793458,-0.482973,0.896407,0.008882
817,0.793458,-0.452139,0.894815,0.008882
818,0.793458,-0.354947,0.893147,0.008882
819,0.793458,-0.208994,0.891265,0.008882
820,0.793458,-0.047951,0.889157,0.008882
821,0.793458,0.102482,0.886938,0.008882
822,0.793458,0.238857,0.884748,0.009041
823,0.793458,0.367054,0.882695,0.009041
824,0.793458,0.478114,0.880867,0.009041
825,0.793458,0.550336,0.879313,0.009041
826,0.793458,0.575500,0.877975,0.009041
827,0.793458,0.565308,0.876722,0.009041
828,0.793458,0.526575,0.875440,0.009041
829,0.793458,0.445964,0.874043,0.009041
830,0.793458,0.309333,0.872425,0.009041
831,0.793458,0.131520,0.870516,0.009041
832,0.793458,-0.042780,0.868387,0.009041
833,0.793458,-0.173805,0.866218,0.009041
834,0.793458,-0.264997,0.864137,0.009041
