timestep,charge_level,psiL_am,psiT_am,ampL_am,ampT_am,freq_rHz
263,0.062500,0.120444,0.000000,0.404412,0.605594,0.005676
264,0.062500,-0.055829,-0.000001,0.403490,0.604078,0.005676
265,0.062500,-0.245231,0.000000,0.402499,0.602566,0.005676
266,0.062500,-0.391723,-0.000000,0.401866,0.601057,0.005676
267,0.062500,-0.479829,0.000000,0.401816,0.599553,0.005676
268,0.062500,-0.548324,0.000000,0.402244,0.598052,0.005676
269,0.062500,-0.651505,0.000000,0.403106,0.596555,0.005676
270,0.062500,-0.802415,0.000000,0.404727,0.595062,0.005676
271,0.062500,-0.949931,0.000000,0.407682,0.593572,0.005676
272,0.062500,-1.012080,0.000000,0.412171,0.592086,0.005676
273,0.062500,-0.937168,-0.000001,0.417322,0.590604,0.005676
274,0.062500,-0.738659,0.000001,0.421519,0.589126,0.005676
275,0.062500,-0.473505,0.000001,0.423695,0.587651,0.005676
276,0.062500,-0.186785,-0.000001,0.423959,0.586180,0.005676
277,0.062500,0.121166,0.000000,0.423104,0.584713,0.005676
278,0.062500,0.471537,0.000000,0.422132,0.583249,0.005797
279,0.062500,0.851164,-0.000001,0.422393,0.581789,0.005797
280,0.062500,1.183663,0.000001,0.425613,0.580333,0.005797
281,0.062500,1.364270,0.000001,0.432719,0.578881,0.005797
282,0.062500,1.332547,-0.000001,0.442285,0.577432,0.005797
283,0.062500,1.116161,-0.000002,0.451128,0.575986,0.005797
284,0.062500,0.804464,0.000001,0.456867,0.574544,0.005797
285,0.062500,0.478402,0.000001,0.459260,0.573106,0.005797
286,0.062500,0.163863,-0.000001,0.459358,0.571672,0.005797
287,0.062500,-0.152135,-0.000000,0.458354,0.570241,0.005797
288,0.062500,-0.467931,-0.000001,0.457334,0.568813,0.005797
289,0.062500,-0.738017,-0.000000,0.457387,0.567390,0.005797
290,0.062500,-0.899721,0.000001,0.459217,0.565969,0.005797
291,0.062500,-0.927403,-0.000000,0.462465,0.564553,0.005797
292,0.062500,-0.857320,-0.000000,0.465945,0.563139,0.005797
293,0.062500,-0.756710,-0.000000,0.468715,0.561730,0.005797
294,0.062500,-0.665998,0.000000,0.470594,0.560324,0.005797
295,0.062500,-0.567825,-0.000000,0.471772,0.558921,0.005797
296,0.062500,-0.412031,-0.000001,0.472301,0.557522,0.005797
297,0.062500,-0.172776,-0.000000,0.472019,0.556127,0.005797
298,0.062500,0.116782,0.000001,0.470996,0.554735,0.005797
299,0.062500,0.385917,0.000000,0.469889,0.553346,0.006027
300,0.253295,0.583291,0.000001,0.469507,0.551961,0.006027
301,0.253295,0.713096,-0.000001,0.470144,0.550579,0.006027
302,0.253295,0.813423,-0.000001,0.471670,0.549201,0.006027
303,0.253295,0.899281,0.000001,0.473993,0.547826,0.006027
304,0.253295,0.931842,0.000001,0.477063,0.546455,0.006027
305,0.253295,0.849773,-0.000000,0.480409,0.545087,0.006027
306,0.253295,0.632206,0.000000,0.482959,0.543723,0.006027
307,0.253295,0.328887,0.000001,0.483820,0.542362,0.006027
308,0.253295,0.026197,-0.000001,0.483169,0.541004,0.006027
309,0.253295,-0.215932,-0.000001,0.481963,0.539650,0.006027
310,0.253295,-0.394298,0.000001,0.480999,0.538299,0.006027
311,0.253295,-0.534226,-0.000000,0.480604,0.536952,0.006027
312,0.253295,-0.638559,-0.000001,0.480887,0.535608,0.006027
313,0.253295,-0.672404,0.000000,0.481804,0.534267,0.006027
314,0.253295,-0.601734,-0.000000,0.482944,0.532930,0.006027
315,0.253295,-0.443705,0.000000,0.483611,0.531596,0.006027
316,0.253295,-0.270915,-0.000000,0.483419,0.530265,0.006027
317,0.253295,-0.158157,0.000001,0.482590,0.528938,0.006027
318,0.253295,-0.122757,0.000000,0.481512,0.527614,0.006027
319,0.253295,-0.120225,-0.000000,0.480385,0.526293,0.006027
320,0.253295,-0.098681,-0.000000,0.479258,0.524976,0.006027
321,0.253295,-0.052033,-0.000000,0.478109,0.523662,0.006027
322,0.253295,-0.015417,0.000000,0.476926,0.522351,0.006027
323,0.253295,-0.011666,0.000000,0.475734,0.521043,0.006027
324,0.253295,-0.011243,0.000000,0.474544,0.519739,0.006027
325,0.253295,0.047015,-0.000000,0.473356,0.518438,0.006027
326,0.253295,0.193518,0.000000,0.472183,0.517140,0.006130
327,0.253295,0.388423,-0.000001,0.471200,0.515846,0.006130
328,0.253295,0.547564,0.000000,0.470822,0.514555,0.006130
329,0.253295,0.610118,0.000000,0.471237,0.513267,0.006130
